name,age,past preferences,location,Diet,Instructions,weather,marital status,preference 1,preference 2,time,state,prefered food item
Rahul_0,30,Mild,Kolkata,Vegetarian,Prepare according to authentic family recipe,Cold,Married,Fusion,Street Food,22:50,West Bengal,Khichdi
Krishna_1,27,Street Food,Surat,Vegetarian (No Onion-Garlic),Simplified preparation for busy schedules,Cold,Married,Home Style,Healthy,08:56,Gujarat,Paratha
Anjali_2,62,Restaurant Style,Chennai,Vegan,Modified recipe with health-conscious ingredients,Hot,Single,Fusion,South Indian,15:14,Tamil Nadu,Sambar Rice
Arjun_3,57,Healthy,Coimbatore,No Restrictions,Modified recipe with health-conscious ingredients,Cold,Married,Street Food,Restaurant Style,23:37,Tamil Nadu,Dal Makhani
Maya_4,21,Fusion,Amritsar,Vegetarian,Simplified preparation for busy schedules,Cold,Single,South Indian,Sweet,15:50,Punjab,Rajma Chawal
Anjali_5,41,Restaurant Style,Kochi,Non-Vegetarian,Prepare according to authentic family recipe,Hot,Married,Home Style,Spicy,17:45,Kerala,Kachori
Priya_6,28,Traditional,Kolkata,Jain,Contemporary twist on classic recipe,Cold,Married,Regional Specialties,Fusion,11:44,West Bengal,Biryani
Krishna_7,43,Spicy,Mysore,Eggetarian,Prepare according to authentic family recipe,Hot,Married,Restaurant Style,Regional Specialties,04:59,Karnataka,Butter Chicken
Aditya_8,55,Restaurant Style,New Delhi,No Restrictions,Prepare according to authentic family recipe,Hot,Married,Traditional,South Indian,03:20,Delhi,Butter Chicken
Anjali_9,73,North Indian,Chennai,Vegetarian (No Onion-Garlic),Modified recipe with health-conscious ingredients,Hot,Single,Traditional,Regional Specialties,11:22,Tamil Nadu,Sambar Rice
Rahul_10,21,Mild,Thiruvananthapuram,Eggetarian,Contemporary twist on classic recipe,Hot,Single,Home Style,Regional Specialties,19:59,Kerala,Fish Curry
Riya_11,18,Sweet,Chennai,Jain,Contemporary twist on classic recipe,Hot,Single,Fusion,North Indian,21:35,Tamil Nadu,Pulao
Zara_12,25,Restaurant Style,Thiruvananthapuram,Eggetarian,Simplified preparation for busy schedules,Hot,Single,Sweet,Traditional,07:28,Kerala,Masala Dosa
Vihan_13,42,Regional Specialties,Mumbai,Vegetarian,Rich and indulgent preparation,Cold,Single,South Indian,Mild,14:37,Maharashtra,Biryani
Aarav_14,50,Sweet,Chennai,Non-Vegetarian,Prepare according to authentic family recipe,Hot,Married,Restaurant Style,Home Style,01:25,Tamil Nadu,Roti Sabzi
Riya_15,36,Healthy,Kochi,No Restrictions,Prepare according to authentic family recipe,Hot,Married,Street Food,Traditional,04:49,Kerala,Fish Curry
Aisha_16,35,Fusion,Kolkata,Vegan,Rich and indulgent preparation,Hot,Single,Sweet,Traditional,05:12,West Bengal,Khichdi
Vihan_17,30,South Indian,Siliguri,No Restrictions,Prepare according to authentic family recipe,Cold,Married,Home Style,Fusion,08:19,West Bengal,Idli Sambar
Priya_18,69,Home Style,Amritsar,Vegetarian (No Onion-Garlic),Prepare according to authentic family recipe,Cold,Single,South Indian,Home Style,17:45,Punjab,Pakora
